10001	Dior新款包包到货❗️秋冬经典款 💰1550/4300 有需要私我	1
10002	今天天气真好，带娃去公园散步，小朋友玩得特别开心[太阳]	0
10003	【拉丁语级别1班】本周六开课！导师哈佛牛津教育证书，10次课，名额有限欢迎私信报名！	1
10004	人到中年，才发现身体健康才是最大的财富，愿大家都平安健康[合十]	0
10005	🏡房屋出租：两室一厅全家具家电，走路5分钟到超市，月租$1800，有意联系713-298-0156	1
10006	刚看完电影《泳者之心》，真的被感动到了，女性力量太伟大[哭泣][哭泣]	0
10007	兰芝新款隔离 30ml 💰148包邮，紫色适合暗黄皮肤，绿色适合红血丝，修饰肤色超好用	1
10008	今天加班到凌晨，一杯咖啡续命ing，老板啥时候给我涨工资啊[捂脸]	0
10009	moncler女士羽绒服brou款 1183×0.9=1064.7🉐 需要的宝宝抓紧	1
10010	朋友推荐的那本《当下的力量》真的不错，读完整个人都安静了下来，推荐给大家	0
10011	急招data analyst，hybrid在VA办公室，提供sponsorship，要求会sql和tableau，有意联系	1
10012	外州度假⛱️模式开启🔛！手机正常操作，发信息保持良好心情度假工作两不误[666]	0
